Open_price,High_price,Low_price,Close_price,Volume,Quote_asset_volume,Number_of_trades,buy_base_volume,buy_quote_volume,label
19415.77,19457.11,19337.06,19373.84,5042.18808,97813707.7308742,100654,2431.76406,47176298.8749196,1
19372.75,19386.8,19320.01,19347.66,5734.23365,110939352.4581767,106862,2845.40866,55050596.4826536,1
19345.92,19361.71,19280.11,19325.41,5725.20515,110616350.2625444,105873,2627.3327,50767527.0563993,1
19325.41,19378.43,19315.42,19375.01,4191.11564,81079811.6677299,81989,2346.74758,45400095.5176558,1
19375.71,19404.99,19345.56,19398.94,3784.43195,73330785.0457582,72295,1979.52535,38359187.6723351,1
19397.86,19429.74,19359.72,19375.74,3469.66119,67290911.4600839,70668,1669.88025,32385558.6662752,1
19375.73,19426.17,19360.88,19403.39,2668.368,51771050.3763262,56395,1315.89599,25530898.3228099,1
19402.39,19442.0,19392.15,19411.75,2552.27371,49559038.5586449,54647,1261.85147,24502391.0067949,1
19412.65,19419.26,19362.6,19400.97,2716.61,52685652.1184033,59959,1348.69979,26157034.1463797,1
19399.58,19414.0,19381.16,19404.15,2308.13512,44771271.3696262,48617,1100.187,21341311.3968281,1
19404.65,19439.4,19394.81,19414.33,2684.40999,52129673.4136693,53971,1339.98726,26022672.9253567,1
19413.32,19419.3,19382.22,19406.73,2036.50296,39510998.6929463,46973,1004.24487,19484334.1475329,0
19407.67,19412.94,19370.02,19406.19,1821.40897,35331163.9766239,44260,909.59755,17644588.4375841,0
19406.67,19406.74,19378.13,19397.68,1545.99683,29979709.7622668,36655,743.86998,14425244.4044298,0
19398.71,19402.08,19255.62,19272.76,4651.49118,89931563.4239277,90088,2247.95427,43465093.5441074,1
19273.11,19290.73,19177.0,19220.87,6851.66109,131722231.9905529,131987,3160.84279,60769632.758568,2
19220.87,19222.18,19126.34,19131.89,4319.32853,82776870.7077496,92970,1972.26963,37798649.5477625,2
19131.89,19166.0,19091.0,19159.01,4495.1488,85976289.4018355,94779,2164.93979,41409246.6311157,2
19159.01,19209.39,19144.17,19204.32,3485.77239,66870226.3135834,71083,1796.88152,34472210.395945,2
19205.46,19221.16,19178.21,19216.21,3259.35285,62578695.1282948,57330,1566.47854,30077544.2531609,2
19217.79,19295.0,19195.44,19247.84,5101.8381,98188696.367815,89984,2714.62842,52245297.3304656,1
19247.84,19307.28,19247.82,19290.91,2379.01528,45886388.908574,45796,1217.77995,23488714.4316932,1
19290.91,19428.57,19280.22,19384.36,3417.76142,66125156.1886351,70624,1872.79176,36235122.7170581,0
19385.75,19433.43,19355.75,19365.96,2954.37189,57288224.9819331,63430,1441.49021,27952969.4775127,0
19364.74,19379.26,19292.65,19327.12,1902.00327,36777972.7593975,43988,925.6932,17899956.1820128,0
19326.05,19344.44,19217.0,19279.0,1530.37891,29527220.8751917,38777,707.74825,13655743.1618735,1
19278.99,19313.96,19220.43,19299.38,1693.68547,32657861.6394115,44570,855.90886,16503668.377637,1
19298.13,19324.17,19273.2,19293.62,947.77236,18292284.6963108,27683,432.82497,8353291.2741869,1
19293.62,19308.14,19255.53,19284.66,1807.18663,34847683.618924,40493,867.98277,16737198.1936035,1
19284.66,19307.01,19256.29,19298.09,1673.08014,32262284.8901988,33682,821.52427,15842078.7908708,1
19298.09,19312.76,19279.18,19303.35,1404.91689,27107349.9612219,31443,692.12063,13354171.0426526,0
19302.53,19335.44,19295.47,19320.5,1328.39643,25662137.2568116,28762,668.26482,12909835.9224306,1
19321.45,19369.41,19305.1,19369.39,1869.57665,36149274.0160021,41202,989.12824,19125767.6211961,0
19368.42,19371.05,19326.64,19331.28,1447.15064,27993680.4478738,29757,672.30791,13005113.7249158,0
19331.28,19364.66,19322.38,19336.59,1382.01037,26731158.4887541,30298,690.42316,13354369.0583009,0
19336.59,19359.22,19316.99,19327.44,1187.96897,22976195.0424479,26857,567.68072,10979841.8041991,0
19327.44,19360.16,19275.85,19277.88,2288.10306,44202061.9297381,51849,1100.46859,21261329.6480126,1
19278.9,19296.47,19258.03,19294.72,2000.47858,38563338.7312376,42644,988.22441,19051208.0869703,1
19294.72,19304.97,19270.01,19270.91,1306.70748,25200979.5844027,31202,638.07173,12306264.206077,1
19270.06,19273.97,19230.0,19234.0,2545.30059,49012470.4228772,57472,1230.38975,23692581.3321519,2
19233.04,19273.25,19213.99,19268.23,1793.57282,34522700.1070001,51353,902.49378,17371852.5058951,1
19268.24,19290.09,19258.47,19275.18,1536.75755,29621376.3499857,38383,793.3811,15293040.5737132,1
19275.18,19323.73,19274.01,19311.69,1869.07935,36083726.5270683,49047,973.48022,18793289.7526766,0
19311.7,19322.53,19304.05,19312.35,1227.76315,23713668.8899801,35975,615.97497,11897391.9847019,0
19311.47,19320.47,19277.53,19293.5,1231.68882,23770142.9568638,32760,600.78639,11594463.414939,1
19293.5,19301.39,19267.62,19276.49,1352.69638,26085623.5731158,31411,702.15417,13540795.3902268,0
19277.53,19282.14,19248.06,19258.41,1417.0553,27298691.9433956,33700,673.47949,12974505.0809091,0
19258.4,19303.9,19248.07,19290.66,1407.75452,27137852.2952726,32919,798.60226,15394859.7332694,0
19291.55,19299.02,19255.39,19265.25,1152.7272,22218509.9498302,28837,539.21119,10393429.1116368,0
19265.25,19300.5,19258.01,19273.91,1334.01764,25718186.5027079,31736,672.21086,12959688.9154778,0
19273.13,19303.97,19269.09,19296.07,1289.26206,24867982.7266733,28269,708.05632,13657848.162155,0
19296.07,19305.38,19281.0,19281.63,1085.15091,20938572.0314663,27999,511.62408,9872280.3935046,0
19281.01,19296.38,19273.02,19277.86,1097.09715,21158528.6915393,25666,602.99966,11629925.9443515,0
19277.86,19306.7,19270.05,19282.59,1542.02197,29748656.9446569,33659,769.17903,14838923.6370769,0
19283.66,19284.39,19252.8,19274.21,1483.8078,28592957.5884643,35140,703.26328,13552269.6898045,0
19275.34,19287.46,19266.01,19277.02,1086.77447,20948414.5034045,27355,553.14253,10662453.5870954,0
19276.16,19304.53,19263.73,19287.69,1490.04214,28732950.0209516,36753,752.82017,14516877.1620132,0
19287.69,19308.34,19270.89,19299.25,1755.7191,33869967.1495894,37127,901.67008,17394874.3991851,0
19298.19,19301.01,19239.07,19249.76,2013.40493,38795466.9823083,46643,916.80291,17666789.0283016,1
19248.42,19269.28,19235.01,19255.11,1781.12823,34296555.9742098,42057,908.96696,17503060.1812503,1
19254.29,19280.0,19232.45,19267.48,2045.82836,39390181.9894567,47094,1043.45318,20091182.3344587,1
19268.1,19278.56,19205.01,19225.63,2262.82464,43539905.0091055,46078,1028.82975,19797129.2127837,1
19225.63,19227.32,19146.8,19180.18,3461.513,66426533.5639971,70172,1611.77185,30931496.9831031,1
19181.03,19222.78,19179.91,19190.2,2144.07881,41174009.8471228,46246,1103.84947,21198230.7206291,1
19189.25,19217.99,19170.35,19209.67,2222.20045,42667528.8308072,52482,1130.66298,21709999.475218,1
19209.67,19243.13,19200.1,19214.04,2195.46909,42203653.1866568,48451,1105.83252,21258249.3963297,0
19214.04,19243.59,19195.89,19218.09,2056.84131,39526897.9271798,44626,1035.95524,19908924.1314357,1
19217.05,19233.23,19185.3,19218.11,2199.56384,42257490.6178659,45900,1044.63894,20070543.6054595,1
19218.59,19233.55,19166.67,19182.41,1892.91156,36351617.2445712,44335,883.62948,16970362.4744258,1
19182.41,19187.8,19147.31,19164.61,2631.38486,50437588.1801563,54239,1297.31424,24866031.6783424,1
19163.92,19190.17,19157.64,19187.6,1465.23216,28095725.4610291,38795,767.16823,14710863.545558,0
19187.6,19206.0,19175.31,19194.42,1515.20085,29078064.355515,40962,769.8127,14773889.621505,1
19195.41,19235.17,19190.88,19230.4,1794.80929,34490506.7861108,45520,917.70849,17635856.4673261,0
19231.02,19242.24,19201.05,19211.8,1636.97213,31466836.9121594,45119,772.78943,14855388.9951968,1
19211.8,19246.9,19208.5,19241.49,1599.64256,30755932.9416288,41728,836.66077,16086627.8422271,0
19241.49,19281.81,19232.34,19268.16,1978.78895,38105937.6824048,46199,1070.37401,20612757.9277102,0
